id,name,iata,icao,callsign,country,active
2,135 Airways,,GNL,GENERAL,United States,false
4,2 Sqn No 1 Elementary Flying Training School,,WYT,,United Kingdom,false
5,213 Flight Unit,,TFU,,Russia,false
6,223 Flight Unit State Airline,,CHD,CHKALOVSK-AVIA,Russia,false
7,224th Flight Unit,,TTF,CARGO UNIT,Russia,false
8,247 Jet Ltd,,TWF,CLOUD RUNNER,United Kingdom,false
9,3D Aviation,,SEC,SECUREX,United States,false
11,4D Air,,QRT,QUARTET,Thailand,false
12,611897 Alberta Limited,,THD,DONUT,Canada,false
16,Army Air Corps,,AAC,ARMYAIR,United Kingdom,false
17,Aero Aviation Centre Ltd.,,AAD,SUNRISE,Canada,false
18,Aero Servicios Ejecutivos Internacionales,,SII,ASEISA,Mexico,false
19,Aero Biniza,,BZS,BINIZA,Mexico,false
20,Aero Albatros,,ABM,ALBATROS ESPANA,Spain,false
21,Aigle Azur,ZI,AAF,AIGLE AZUR,France,true
23,Alaska Island Air,,AAK,ALASKA ISLAND,United States,false
24,American Airlines,AA,AAL,AMERICAN,United States,true
25,Aviation Management Corporation,,AAM,AM CORP,United States,false
26,Atlantis Airlines (USA),,AAO,ATLANTIS AIR,United States,false
27,Aerovista Airlines,,AAP,AEROVISTA GROUP,United Arab Emirates,false
29,Askari Aviation,4K,AAS,AL-AAS,Pakistan,true
30,Australia Asia Airlines,,AAU,AUSTASIA,Australia,false
31,Astro Air International,,AAV,ASTRO-PHIL,United States,false
32,Afriqiyah Airways,8U,AAW,AFRIQIYAH,Libya,true
33,Afrinat International Airlines,Q9,AFU,,Gambia,false
35,Allegiant Air,G4,AAY,ALLEGIANT,United States,true
36,Angus Aviation,,AAZ,ANGUS,Canada,false
37,Artem-Avia,,ABA,ARTEM-AVIA,Ukraine,false
39,Aban Air,K5,ABE,ABAN,Iran,false
40,Aerial Oy,,ABF,SKYWINGS,Finland,false
41,Abakan-Avia,,ABG,ABAKAN-AVIA,Russia,false
42,ABSA - Aerolinhas Brasileiras,M3,TUS,ABSA Cargo,Brazil,true
43,Abaet,,ABJ,Abaet,Brazil,false
44,Alberta Citylink,,ABK,ALBERTA CITYLINK,Canada,false
45,APSA Colombia,,ABO,AEROEXPRESO,Colombia,false
46,Aerovias Bueno,,ABU,AEROBUENO,Colombia,false
51,ATA Brasil,,ABZ,ATA-BRAZIL,Brazil,false
52,Avcard Services,,ACC,,United Kingdom,false
53,Academy Airlines,,ACD,ACADEMY,United States,false
54,Aero Comondu,,ACO,AERO COMONDU,Mexico,false
55,Astral Aviation,8V,ACP,ASTRAL CARGO,Kenya,true
56,Air Cess,,ACS,,Liberia,false
57,Air Aurora,,AAI,BOREALIS,United States,false
58,Air Cargo Transportation System,,ACU,AFRISPIRIT,Kenya,false
59,Air Charter Service,,ACV,,United Kingdom,false
61,Air Charters,,ACX,PARAIR,Canada,false
62,Air Togo,YT,TGA,AIR TOGO,Togo,false
64,Atlas Cargo Lines,,ACY,ATLAS CARGOLINES,Morocco,false
65,Airservices Australia,,ADA,AUSCAL,Australia,false
66,Advance Leasing Company,4G,,,United States,false
69,Antonov Airlines,,ADB,ANTONOV BUREAU,Ukraine,false
70,Air Atlantic Dominicana,,ADC,ATLAN-DOMINICAN,Dominican Republic,false
71,Advanced Air Co.,,ADD,,Japan,false
73,Aerea Flying Training Organization,,ADG,AEREA TRAINING,Spain,false
74,Audeli Air,,ADI,AUDELI,Spain,false
77,Aero Dynamics,,ADL,COTSWOLD,United Kingdom,false
78,Aerolineas Dominicanas,,ADM,DOMINAIR,Dominican Republic,false
79,Aerodienst GmbH,,ADN,AERODIENST,Germany,false
80,Aerodiplomatic,,ADP,AERODIPLOMATIC,Mexico,false
81,Aerodyne,,ADY,AERODYNE,United States,false
82,Avion Taxi,,ADQ,AIR DATA,Canada,false
83,Adria Airways,JP,ADR,ADRIA,Slovenia,true
84,Aviones de Sonora,,ADS,SONORAV,Mexico,false
85,Air Dorval,,ADT,AIR DORVAL,Canada,false
86,Airdeal Oy,,ADU,AIRDEAL,Finland,false
87,Advance Air Charters,,ADV,ADVANCE,Canada,false
88,Air Andaman,,ADW,AIR ANDAMAN,Thailand,false
89,Anderson Aviation,,ADX,ANDAX,United States,false
90,Air Europa,UX,AEA,EUROPA,Spain,true
91,Air Southwest Ltd.,,ASW,AIRSOUTHWEST,Canada,false
92,Air Special,,ASX,AIRSPEC,Czech Republic,false
95,Aerotrans Airlines,,AED,,Russia,false
96,Aegean Airlines,A3,AEE,AEGEAN,Greece,true
97,Aerofumigaciones Sam,,AEG,FUMIGACIONES SAM,Chile,false
98,Aeroexpreso Interamericano,,AEI,INTERAM,Colombia,false
99,Air Express,,AEJ,KHAKI EXPRESS,Tanzania,false
100,Aerocon,,AEK,AEROCON,Bolivia,false
101,Aero Madrid,,AEM,AEROMADRID,Spain,false
102,Aeroenlaces Nacionales,,AEN,,Mexico,false
103,Aeroservicios Ejecutivos Del Occidente,,AEO,AERO OCCIDENTE,Mexico,false
104,Aerotec,,AEP,AEROTEC,Spain,false
106,Air Europe,PE,AEL,AIR EUROPE,Italy,true
107,Air Alma,,AAJ,AIR ALMA,Canada,false
108,Air Express,,AEQ,LUNA,Sweden,false
109,Alaska Central Express,KO,AER,ACE AIR,United States,true
110,ACES Colombia,,AES,ACES,Colombia,true
111,Aeronautical Radio of Thailand,,AET,AEROTHAI,Thailand,false
113,Aeroventas,,AEV,AEROVENTAS,Mexico,false
577,Alexandair,,AXN,ALEXANDROS,Greece,false
115,Airway Express,,AEX,AVCO,United States,false
116,Air Italy,I9,AEY,AIR ITALY,Italy,true
117,Aerial Transit Company,,AEZ,AERIAL TRANZ,United States,false
512,Air Uganda International Ltd.,,AUX,,Uganda,false
118,Alfa Air,,AFA,BLUE ALFA,Czech Republic,false
121,Air Universal,,UVS,UNI-LEONE,Sierra Leone,false
122,Auvia Air,,UVT,AUVIA,Indonesia,false
123,African West Air,,AFC,AFRICAN WEST,Senegal,false
124,Airfast Indonesia,,AFE,AIRFAST,Indonesia,false
125,Ariana Afghan Airlines,FG,AFG,ARIANA,Afghanistan,true
126,Air Fecteau,,AFH,FECTO,Canada,false
127,Africaone,,AFI,AFRICAWORLD,Uganda,false
128,Alliance,,AFJ,JAMBO,Uganda,false
129,Africa Air Links,,AFK,AFRICA LINKS,Sierra Leone,false
130,Aeroflot Russian Airlines,SU,AFL,AEROFLOT,Russia,true
131,Aero Empresa Mexicana,,AFO,AERO EMPRESA,Mexico,false
132,Air Bosna,JA,BON,AIR BOSNA,Bosnia and Herzegovina,true
133,Air Bravo,,BRF,AIR BRAVO,Uganda,false
134,Air Brasd'or,,BRL,BRASD'OR,Canada,false
135,Air 500,,BRM,BOOMERANG,Canada,false
136,Alba Servizi Aerotrasporti,,AFQ,ALBA,Italy,false
137,Air France,AF,AFR,AIRFRANS,France,true
138,Air Partner,,ACG,AIR PARTNER,United Kingdom,false
139,Air Caledonie International,SB,ACI,AIRCALIN,France,true
140,Air Caledonia,,ACM,WEST CAL,Canada,false
141,Air Guam,,AGM,AIR GUAM,United States,false
143,Air Data,,AFS,,United Kingdom,false
145,Air Cargo America,,MVM,PEGASUS,United States,false
146,Air Salone,2O,,,Sierra Leone,true
147,Air-Angol,,NGO,AIR ANGOL,Angola,false
148,Air Nigeria,,NGP,REGAL EAGLE,Nigeria,false
150,Air Samarkand,,SND,ARSAM,Uzbekistan,false
151,Air Senegal International,V7,SNG,AIR SENEGAL,Senegal,false
152,Air Sandy,,SNY,AIR SANDY,Canada,false
153,Air Namibia,SW,NMB,NAMIBIA,Namibia,true
154,Air Intersalonika,,NSK,INTERSALONIKA,Greece,false
155,Air Anatolia,,NTL,AIR ANATOLIA,Turkey,false
156,Air Saigon,,SGA,AIR SAIGON,Vietnam,false
158,Airfreight Express,,AFX,,United Kingdom,false
159,Africa Chartered Services,,AFY,AFRICA CHARTERED,Nigeria,false
160,Africa Freight Services,,AFZ,AFREIGHT,Zambia,false
161,Aeronaves Del Centro,,AGA,,Venezuela,false
162,Air Service Gabon,G8,AGB,,Gabon,false
163,Arab Agricultural Aviation Company,,AGC,AGRICO,Egypt,false
164,Atlantic Gulf Airlines,,AGF,ATLANTIC GULF,United States,false
166,Algoma Airways,,AGG,ALGOMA,Canada,false
167,Altagna,,AGH,ALTAGNA,France,false
168,Angola Air Charter,,AGO,ANGOLA CHARTER,Angola,false
169,Angola Air Charter,,AGO,ANGOLA CHARTER,Angola,false
170,AERFI Group,,AGP,AIR TARA,Ireland,false
171,Aerogala,,AGQ,GALASERVICE,Chile,false
173,Angara Airlines,,AGU,SARMA,Russia,false
175,Aero Gambia,,AGW,AERO GAMBIA,Gambia,false
176,Aviogenex,,AGX,GENEX,Serbia,true
177,Atlantic Coast Airlines,,BLR,BLUE RIDGE,United States,false
178,Aero Barloz,,BLZ,AEROLOZ,Mexico,false
179,Aeroper,PL,PLI,Aeroperu,Peru,true
181,Aero Banobras,,BNB,AEROBANOBRAS,Mexico,false
182,Aero Flight Service,,AGY,FLIGHT GROUP,United States,false
183,Agrolet-Mci,,AGZ,AGROLET,Slovakia,false
185,Azal Avia Cargo,,AHC,AZALAVIACARGO,Azerbaijan,false
187,Aeroservices Corporate,,CJE,BIRD JET,France,false
188,Aspen Helicopters,,AHF,ASPEN,United States,false
189,Aerochago Airlines,,AHG,AEROCHAGO,Dominican Republic,false
190,Airplanes Holdings,,AHH,AIRHOLD,Ireland,false
192,Aerochiapas,,AHP,AEROCHIAPAS,Mexico,false
193,Air Adriatic,,AHR,ADRIATIC,Croatia,false
194,Air Viggi San Raffaele,,AHS,AIRSAR,Italy,false
195,ABC Air Hungary,,AHU,ABC HUNGARY,Hungary,false
197,Azerbaijan Airlines,J2,AHY,AZAL,Azerbaijan,true
199,Airbus Industrie,AP,AIB,AIRBUS INDUSTRIE,France,false
200,Alpine Air Chile,,AIH,ALPINE CHILE,Chile,false
201,Air Integra,,AII,INTEGRA,Canada,false
202,ABC Aerolineas,,AIJ,ABC AEROLINEAS,Mexico,false
203,African Airlines International Limited,,AIK,AFRICAN AIRLINES,Kenya,false
206,Alicante Internacional Airlines,,AIU,ALIA,Spain,false
207,Aba Air,,ABP,BAIR,Czech Republic,false
209,Airmark Aviation,,THM,THAI AIRMARK,Thailand,false
210,Airlift International,,AIR,AIRLIFT,United States,true
211,Airest,,AIT,,Estonia,false
212,Air Baffin,,BFF,AIR BAFFIN,Canada,false
214,Air Berlin,AB,BER,AIR BERLIN,Germany,true
215,Air Brousse,,ABT,AIR BROUSSE,Canada,false
217,Air Illinois,,AIL,AIR ILLINOIS,United States,false
218,Air India Limited,AI,AIC,AIRINDIA,India,true
219,Air Inter Gabon,,AIG,,Gabon,false
220,Air Bourbon,ZB,BUB,BOURBON,Reunion,true
221,Air Atlanta Icelandic,CC,ABD,ATLANTA,Iceland,true
222,Air Inuit,,AIE,AIR INUIT,Canada,false
223,Air Sureste,,AIS,SURESTE,Spain,false
225,Air Tahiti Nui,TN,THT,TAHITI AIRLINES,France,true
226,Airvias S/A Linhas Aereas,,AIV,AIRVIAS,Brazil,false
227,Aero Services Executive,W4,BES,BIRD EXPRESS,France,false
228,Atlantic Island Airways,,AIW,TARTAN,Canada,false
229,Aircruising Australia,,AIX,CRUISER,Australia,false
230,Aircrew Check and Training Australia,,AIY,AIRCREW,Australia,false
231,Arkia Israel Airlines,IZ,AIZ,ARKIA,Israel,true
232,A J Services,,AJA,AYJAY SERVICES,United Kingdom,false
233,Aero JBR,,AJB,AERO JBR,Mexico,false
234,Aero Jet Express,,AJE,JET EXPRESS,Mexico,false
235,Avia Consult Flugbetriebs,,AJF,AVIACONSULT,Austria,false
236,Ameristar Jet Charter,,AJI,AMERISTAR,United States,false
237,A2 Jet Leasing,,AJJ,ATLANTIC JET,United States,false
238,Allied Air,,AJK,BAMBI,Nigeria,false
240,Air One,AP,ADH,HERON,Italy,true
241,Air Sahara,S2,RSH,SAHARA,India,true
242,Air Malta,KM,AMC,AIR MALTA,Malta,true
243,Aeroejecutivo,,AJO,AEROEXO,Mexico,false
244,Aero Jets Corporativos,,AJP,AEROJETS,Mexico,false
245,Aeroejecutivos Colombia,,AJS,AEROEJECUTIVOS,Colombia,false
246,Amerijet International,M6,AJT,AMERIJET,United States,false
247,Air Jetsul,,AJU,AIRJETSUL,Portugal,false
248,ANA & JP Express,,AJV,AYJAY CARGO,Japan,false
249,Alpha Jet International,,AJW,ALPHAJET,United States,false
251,Ajet,,AJY,AYJET,Cyprus,false
253,Air Livonia,,LIV,LIVONIA,Estonia,false
254,Air BC,,ABL,AIRCOACH,Canada,false
255,Air Fret Senegal,,ABN,,Senegal,false
256,Air Jamahiriya Company,,LJA,AIR JAMAHIRIYA,Libya,false
257,Aktjubavia,,AKB,KARAB,Kazakhstan,false
258,Arca Aerovias Colombianas Ltda.,,AKC,ARCA,Colombia,false
260,Akhal,,AKH,AKHAL,Turkmenistan,false
261,Aeromilenio,,MNI,AEROMIL,Mexico,false
262,Aklak Air,,AKK,AKLAK,Canada,false
264,Alkan Air,,AKN,ALKAN AIR,Canada,false
265,Angkor Airways,,AKW,ANGKORWAYS,Cambodia,false
267,AK Navigator LLC,,AKZ,ABSOLUTE,Kazakhstan,false
268,Aero Albatros,,ALB,ALBATROS,Mexico,false
269,Albion Aviation,,ALD,ALBION,United Kingdom,false
270,Aeroalas Colombia,,ALE,AEROALAS,Colombia,false
271,Allied Command Europe (Mobile Force),,ALF,ACEFORCE,Belgium,false
272,Aerotaxis Albatros,,BTS,AEROLINEAS ALBATROS,Mexico,false
273,American Flyers,,FYS,AMERICAN FLYERS,United States,false
274,Aero Coach Aviation,,DFA,AERO COACH,United States,false
275,Atlantic Southeast Airlines,,CAA,Chandler,United States,false
276,ACM Air Charter,,BVR,BAVARIAN,Germany,false
277,Air Logistics,,ALG,AIRLOG,United States,false
278,Aerovallarta,,ALL,VALLARTA,Mexico,false
279,Air ALM,,ALM,ANTILLEAN,Netherlands Antilles,false
280,Air Lincoln,,ALN,CHICAGO LINCOLN,United States,false
283,Aerotransporte de Carga Union,,TNO,AEROUNION,Mexico,false
284,Aero Taxis Cessna,,TND,TAXIS CESSNA,Mexico,false
285,Arizona Express Airlines,,TMP,TEMPE,United States,false
287,Allegheny Commuter Airlines,,ALO,ALLEGHENY,United States,true
288,Alpliner AG,,ALP,ALPINER,Switzerland,false
289,Altair Aviation (1986),,ALQ,ALTAIR,Canada,false
290,Air Luxor STP,,ALU,LUXORJET,Sao Tome and Principe,false
291,Alas de Venezuela,,ALV,ALVEN,Venezuela,false
293,Alyeska Air Service,,ALY,ALYESKA,United States,false
294,Alta Flights (Charters) Ltd.,,ALZ,,Canada,false
295,Air Sunshine,,RSI,AIR SUNSHINE,United States,true
296,ATMA,,AMA,ADIK,Kazakhstan,false
297,Aerolineas Medellin,,AMD,AEROLINEAS MEDELLIN,Colombia,false
298,Ameriflight,,AMF,AMFLIGHT,United States,false
300,Air Lithuania,TT,KLA,KAUNAS,Lithuania,false
301,Air Minas Linhas A,,AMG,AIR MINAS,Brazil,false
302,Alan Mann Helicopters Ltd.,,AMH,MANN,United Kingdom,false
303,Air Maldives,,AMI,AIR MALDIVES,Maldives,false
304,Aviation Amos,,AMJ,AVIATION AMOS,Canada,false
305,Amerer Air,,AMK,AMER AIR,Austria,false
307,Aeroputul International Marculesti,,AMM,AEROM,Moldova,false
308,Air Montenegro,,AMN,MONTENEGRO,Montenegro,false
309,Air Montreal (Air Holdings Inc.),,AMO,AIR MONTREAL,Canada,false
310,Aero Transporte S.A. (ATSA),,AMP,ATSA,Peru,false
311,Aeromedicare Ltd.,,AMQ,LIFELINE,United Kingdom,false
312,Air Sicilia,BM,,,Italy,true
313,Air Specialties Corporation,,AMR,AIR AM,United States,false
314,Air Muskoka,,AMS,AIR MUSKOKA,Canada,false
315,ATA Airlines,,AMT,AMTRAN,United States,true
317,AMC Airlines,,AMV,,Egypt,true
319,Air Seychelles,HM,SEY,SEYCHELLES,Seychelles,true
320,Air Sofia,,SFB,AIR SOFIA,Bulgaria,false
321,AeroMéxico,AM,AMX,AEROMEXICO,Mexico,true
322,Air Ambar,,AMY,AIR AMBAR,Dominican Republic,false
323,Amiya Airline,,AMZ,AMIYA AIR,Nigeria,false
324,All Nippon Airways,NH,ANA,ALL NIPPON,Japan,true
325,Air Navigation And Trading Co. Ltd.,,ANB,AIR NAV,United Kingdom,false
631,Advance Aviation Services,,XTJ,,United States,false
326,Anglo Cargo,,ANC,ANGLO,United Kingdom,false
328,Air Niugini,PX,ANG,NUIGINI,Papua New Guinea,true
329,Air Arabia,G9,ABY,ARABIA,United Arab Emirates,true
330,Air Canada,AC,ACA,AIR CANADA,Canada,true
331,Airport Bratsk,,BRP,AEROBRA,Russia,false
332,Air Wings,,BSB,ARBAS,Moldova,false
333,Air Baltic,BT,BTI,AIRBALTIC,Latvia,true
334,Alajnihah for Air Transport,,ANH,ALAJNIHAH,Libya,false
335,Air Atlantic (Nig) Limited,,ANI,NIGALANTIC,Nigeria,false
336,Air Nippon,EL,ANK,ANK AIR,Japan,true
338,Airnorth,TL,ANO,TOPEND,Australia,true
339,Aerol,,ANQ,ANTIOQUIA,Colombia,false
340,Andes Lineas Aereas,,ANS,AEROANDES,Argentina,false
341,Air North Charter - Canada,4N,ANT,AIR NORTH,Canada,true
342,Air Nevada,,ANV,AIR NEVADA,United States,false
345,Air New Zealand,NZ,ANZ,NEW ZEALAND,New Zealand,true
346,Avia Jaynar,,SAP,TOBOL,Kazakhstan,false
347,Aero Servicios Empresariales,,EMS,SERVIEMPRESARIAL,Mexico,false
350,Aero Vodochody,,AOD,AERO CZECH,Czech Republic,false
351,Air One Executive,,AOE,,Italy,false
352,Atair Pty Ltd.,,AOF,ATAIR,South Africa,false
354,Aeromundo Ejecutivo,,MUN,AEROMUNDO,Mexico,false
355,Aerolinea Muri,,MUR,MURI,Mexico,false
357,Aero Rent JSC,,NRO,AEROMASTER,Russia,false
358,Aeronord-Grup,,NRP,AERONORD,Moldova,false
359,Aeroatlantico Colombia,,AOK,,Colombia,false
360,Angkor Airlines,,AOL,ANGKOR AIR,Cambodia,false
361,Aero Entreprise,,AON,AERO ENTERPRISE,France,false
363,Aeropiloto,,AOP,AEROPILOTO,Portugal,false
364,Aeroenlaces Nacionales,,VIV,AEROENLACES,Mexico,false
365,Aerovis Airlines,,VIZ,AEROVIZ,Ukraine,false
366,Avjet International (FZE),,VJE,,United Arab Emirates,false
367,Aerovista Gulf Express,,VGF,VISTA GULF,United Arab Emirates,false
369,Almaver,,VER,ALMAVER,Mexico,false
370,Afro International Ent. Limited,,AOR,INTER-AFRO,Nigeria,false
728,ASECNA,,XKX,,France,false
373,Air Tractor,,AOU,AIR TRACTOR,Croatia,false
374,Aero Vision,,AOV,AEROVISION,France,false
375,Aerotaxi Del Valle,,AOX,AEROVALLE,Colombia,false
376,Air Park Aviation Ltd.,,APA,CAN-AM,Canada,false
378,Aeroservicios Monterrey,,SVM,SERVIMONTE,Mexico,false
379,Amapola Flyg AB,,APF,AMAPOLA,Sweden,false
380,Air People International,,APG,AIR PEOPLE,Thailand,false
384,Atlantic Airlines,,BJK,BLACKJACK,United States,false
385,Aerotransporte Petrolero,,PET,AEROPETRO,Colombia,false
386,Aero Flight,GV,ARF,Aero Fox,Germany,true
387,ACM Aviation,,BJT,BAY JET,United States,false
388,Aircompany Barcol,,BKL,BARCOL,Russia,false
389,All Charter Limited,,BLA,ALL CHARTER,United Kingdom,false
392,Aeropro,,APO,AEROPRO,Canada,false
394,Aspen Aviation,,APQ,ASPEN BASE,United States,false
397,Arrow Air,JW,APW,BIG A,United States,true
398,Apex Air Cargo,,APX,PARCEL EXPRESS,United States,false
399,APA Internacional,,APY,APA INTERNACIONAL,Dominican Republic,false
401,Aquila Air Ltd.,,AQL,AQUILA,Canada,false
402,Air Queensland,,AQN,BUSHAIR,Australia,false
403,Aluminum Company Of America,,AQO,ALCOA SHUTTLE,United States,false
405,AirQuarius Aviation,,AQU,QUARIUS,South Africa,false
406,Aerodyne Charter Company,,AQZ,QUANZA,United States,false
407,Arik Air,W3,ARA,ARIK AIR,Nigeria,false
408,Avia Air N.V.,,ARB,AVIAIR,Aruba,false
409,Air Routing International Corp.,,ARC,,United States,false
410,Aerocondor,2B,ARD,AEROCONDOR,Portugal,true
412,Aerolineas Argentinas,AR,ARG,ARGENTINA,Argentina,true
413,Arrowhead Airways,,ARH,ARROWHEAD,United States,false
414,Aero Vics,,ARI,AEROVICS,Mexico,false
415,Aerojet de Costa Rica,,ARJ," S.A.",,false
416,Antillana De Navegacion Aerea,,SUN,,Dominican Republic,false
417,Aeroservicios De San Luis,,SUO,SERVICIO SANLUIS,Mexico,false
729,AT and T Aviation Division,,XAT,,United States,false
418,Aerosuper,,SUP,AEROSUPER,Mexico,false
419,Aero Link Air Services S.L.,,ARK,LINK SERVICE,Spain,false
420,Airlec - Air Aquitaine Transport,,ARL,AIRLEC,France,false
421,Aeromarket Express,,ARM,AMEX,Spain,false
422,Arrow Aviation Ltd.,,ARO,ARROW,Canada,false
423,RPA-Aviataxi Ltd.,,ARP,,Russia,false
424,Air Klaipeda,,KLD,AIR KLAIPEDA,Lithuania,false
426,Air Armenia,QN,ARR,AIR ARMENIA,Armenia,false
427,Aeromet Servicios,,ARS,METSERVICE,Chile,false
428,Aerotal Aerolineas Territoriales de Colombia Ltda,,ART,AEROTAL,Colombia,false
429,Aravco Ltd.,,ARV,ARAVCO,United Kingdom,false
430,Aria,,ARW,ARIABIRD,France,false
432,Airline Alania,,OST,ALANIA,Russia,false
433,Air Tchad,,HTT,HOTEL TANGO,Chad,false
434,Aerloineas de Techuacan,,HUC,LINEAS TEHUACAN,Mexico,false
435,Aerotransportes Huitzilin,,HUT,AEROHUITZILIN,Mexico,false
436,Aero Transportes Del Humaya,,HUY,AERO HUMAYA,Mexico,false
437,Argosy Airways,,ARY,GOSEY,United States,false
438,Air Resorts,,ARZ,AIR RESORTS,United States,false
440,Air-Spray 1967 Ltd.,,ASB,AIR SPRAY,Canada,false
441,Air Star Corporation,,ASC,AIR STAR,Canada,false
442,Air Sinai,4D,ASD,AIR SINAI,Egypt,true
443,Airstars,PL,ASE,MOROZOV,Russia,false
445,African Star Airways (PTY) Ltd.,,ASG,AFRICAN STAR,South Africa,false
447,Air Satellite,,ASJ,SATELLITE,Canada,false
448,Awesome Flight Services (PTY) Ltd.,,ASM,AWESOME,South Africa,false
449,Air and Sea Transport,,ASN,,Russia,false
450,Aero Slovakia,,ASO,AERO NITRA,Slovakia,false
451,Airsprint,,ASP,AIRSPRINT,Canada,false
455,Aerlineas Del Oeste,,AST,AEROESTE,Mexico,false
456,Aviones Are,,NRE,AVIONES ARE,Mexico,false
457,Air Nepal International,,NPL,AIR NEPAL,Nepal,false
458,Air Napier,,NPR,,New Zealand,false
459,Air Taxi & Cargo,,WAM,TAXI CARGO,Sudan,false
460,Arrow Panama,,WAP,ARROW PANAMA,Panama,false
461,Astravia-Bissau Air Transports Ltd.,,ASV,ASTRAVIA,Guinea-Bissau,false
462,Astrakhan Airlines,OB,ASZ,AIR ASTRAKHAN,Russia,true
463,Air Transport Association,,ATA,,United States,false
754,Aerotrans,,CDU,,Russia,false
464,Atlantair Ltd.,,ATB,STARLITE,Canada,false
466,Aerotours Dominicana,,ATD,AEROTOURS,Dominican Republic,false
468,Aerotrans Airline,,ATG,BACHYT,Kazakhstan,false
469,Air Charter World,,XAC,,United States,false
470,Air Burkina,2J,VBW,BURKINA,Burkina Faso,true
471,Air Travel Corp.,,ATH,AIR TRAVEL,United States,false
473,Air Traffic GmbH,,ATJ,SNOOPY,Germany,false
474,AeroTACA,,ATK,AEROTACA,Colombia,false
475,Aerocentral,,ATL,CENTRALMEX,Mexico,false
476,Airlines Of Tasmania,FO,ATM,AIRTAS,Australia,true
479,ASTRAL Colombia - Aerotransportes Especiales Ltda.,,ATP,ASTRAL,Colombia,false
480,Air Transport Schiphol,,ATQ,MULTI,Netherlands,false
481,Aeroferinco,,FEO,FERINCO,Mexico,false
482,Aero Taxis Y Servicios Alfe,,FES,AERO ALFE,Mexico,false
483,Avialesookhrana,,FFA,AVIALESOOKHRANA,Russia,false
484,Africair Service,,FFB,FOXTROT FOXTROT,Senegal,false
485,Atlas Airlines,,ATR,ATLAS-AIR,United States,false
487,Aer Turas,,ATT,AERTURAS,Ireland,false
488,Atlant Aerobatics Ltd.,,ATU,ATLANT HUNGARY,Hungary,false
489,Avanti Air,,ATV,AVANTI AIR,Germany,false
490,Aero Trades (Western) Ltd.,,ATW,AERO TRADES,Canada,false
491,Austrian Airlines,OS,AUA,AUSTRIAN,Austria,true
492,Air Southwest,,WOW,SWALLOW,United Kingdom,true
494,Air Corporate,,CPV,AIRCORPORATE,Italy,false
495,Aviastar-Tu,,TUP,TUPOLEVAIR,Russia,false
497,ATUR,,TUR,,Ecuador,true
498,ATESA Aerotaxis Ecuatorianos,,TXU,ATESA,Ecuador,false
499,Austin Express,,TXX,COWBOY,United States,false
501,Augusta Air Luftfahrtunternehmen,,AUF,AUGUSTA,Germany,false
502,Abu Dhabi Amiri Flight,MO,AUH,SULTAN,United Arab Emirates,true
503,Aeroflot-Nord,5N,AUL,DVINA,Russia,true
504,Air Atlantic Uruguay,,AUM,ATLAMUR,Uruguay,false
505,Aviones Unidos,,AUN,AVIONES UNIDOS,Mexico,false
506,Avia Business Group,,AUP,,Russia,false
507,Aero Servicios Expecializados,,SVE,AEROESPECIAL,Mexico,false
508,Aurigny Air Services,GR,AUR,AYLINE,United Kingdom,true
516,Aviation Beaufort,,AVB,BEAUPAIR,United Kingdom,false
518,Aviair Aviation Ltd.,,AVF,CARIBOO,Canada,false
519,Air Falcon,,AVG,DJIBOUTI FALCON,Djibouti,false
520,AV8 Helicopters,,AVH,KENT HELI,United Kingdom,false
522,AV8 Helicopters,,AVK,AVIATE-COPTER,South Africa,false
524,Air Vanuatu,NF,AVN,AIR VAN,Vanuatu,true
525,Aviation at Work,,AVO,AVIATION WORK,South Africa,false
526,Avcorp Registrations,,AVP,AVCORP,United Kingdom,false
527,Alfa Aerospace,,LFP,ALFA-SPACE,Australia,false
528,Atlantic Airfreight Aviation,,LFR,LANFREIGHT,Sao Tome and Principe,false
529,Aerolift Company,,LFT,LIFTCO,Sierra Leone,false
532,Avialsa T-35,,AVS,AVIALSA,Spain,false
533,Asia Avia Airlines,,AVT,ASIAVIA,Indonesia,false
534,Avia Sud A,,AVU,AVIASUD,France,false
535,Airvantage Incorporated,,AVV,AIRVANTAGE,United States,false
536,Aviator Airways,,AVW,AVIATOR,Greece,false
537,Aviapaslauga,,AVX,PASLAUGA,Lithuania,false
538,ASL,,XXX,,Belgium,false
539,Air Yugoslavia,,YRG,YUGAIR,Serbia,false
540,Airlink Zambia,K8,ZAK,,Zambia,false
542,Airbus Transport International,,BGA,BELOUGA,France,false
543,Air Bangladesh,B9,BGD,AIR BANGLA,Bangladesh,true
544,Aviodetachment-28,,BGF,BULGARIAN,Bulgaria,false
545,Aero BG,,BGG,AERO BG,Mexico,false
546,Aerotaxis De La Bahia,,BHC,BAHIA,Mexico,false
548,Aviaservice,,BIV,AVIASERVICE,Georgia,false
549,Aerolineas De El Salvador,,SZA,AESA,El Salvador,false
551,Air Moorea,,TAH,AIR MOOREA,France,true
553,Air Valencia,,AVZ,AIR VALENCIA,Spain,false
555,Airwork,,AWK,AIRWORK,New Zealand,false
556,Australian Wetleasing,,AWL,AUSSIEWORLD,Australia,false
557,Air Niamey,,AWN,AIR NIAMEY,Niger,false
558,Awood Air Ltd.,,AWO,AWOOD AIR,Canada,false
559,Arctic Wings And Rotors Ltd.,,AWR,ARCTIC WINGS,Canada,false
